AANL,Ancient Anatolian Languages 
MOMN,Molecular Metabolism/Nutrition 
MPCS,Computer Science Masters 
MPHY,Medical Physics 
MPMM,Molecular Pathogenesis/Med 
MSBI,M.S. in Biomedical Informatics 
MSCA,M.S. in Analytics 
MSSD,Mathematics/Social Science 
MSTR,M.S. in Threat/Response Mgmt 
MUSI,Music 
NCDV,New Collegiate Division 
NDVI,Non-Degree Visitor 
NDVS,Non-Degree Visitor 
NEAA,Near Eastern Art/Archeology 
NEAR,Near Eastern Archaeology 
NECV,Near Eastern Civilizations 
NEHC,Near Eastern History/Civ 
NEHT,Near Eastern History 
NELC,Near Eastern Languages/Civ 
NELG,Near Eastern Languages 
NETH,Netherlandic 
NEUR,Neurobiology Department 
NEWT,New Testament 
NOND,Special Non-Degree 
NORW,Norwegian 
NPHP,Neuro/Pharma/Physio 
NSCI,Neuroscience 
NSFN,National Science Foundation 
NSFP,NSF - Physics 
NTEC,New Testament/ECL 
NTSC,Natural Science 
NURB,Neurobiology 
NURL,Neurology 
OBGY,Obstetrics/Gynecology 
OLDT,Old Testament 
OMLD,Org Mgmt/Leadership Devel 
OPLY,Ophthalmology 
OPTH,Ophthalmology/Visual Sciences 
ORGB,Organismal Biology/Anatomy 
ORTH,Orthopaedic Surgery/Rehab Med 
PALI,Pali 
PANJ,Panjabi 
PATH,Pathology 
PBHS,Public Health Sciences 
PBPL,Public Policy Studies (PBPL) 
PCGC,Cognition/Communication 
PEAA,Physical Education/Athletics 
PEDS,Pediatrics 
PERL,Politics/Econ/Rhetoric/Law 
PERS,Persian 
PHAR,Pharmacology/Physiological Sci 
PHED,Physical Education 
PHIL,Philosophy 
PHSC,Physical Science 
PHYS,Physics 
PLSC,Political Science 
POLI,Polish 
PORT,Portuguese 
PPHA,Public Policy Studies (PPHA) 
PRAC,SSA Field Practicum 
PRMQ,Rsch Methodology/Quant 
PRTH,Practical Theology 
PSCR,Psychiatry 
PSDG,Physical Sciences Government 
PSMS,Physical Sciences Masters 
PSOR,Social/Organizational 
PSYC,Psychology 
PUBA,Public Affairs 
PWAY,Pathway Program 
RADI,Radiology 
RAME,Religions in America 
RCON,Radiation/Cellular Oncology 
REES,Russian/East European Studies 
RELH,Religion/Humanities 
REMS,Ren/Early Modern Studies 
RETH,Religious Ethics 
RHUS,Religion/Human Sciences 
RLIT,Religion/Literature 
RLLT,Romance Languages/Literature 
RLST,Religious Studies 
RLVC,Religion/Lit/Visual Culture 
RMET,Rsch Methodology/Quant Psych 
ROMN,Romanian 
ROMP,Romance Philology 
ROPR,Research Opportunity 
RPST,Religion/Psychological Studies 
RUSS,Russian 
SABR,Study Abroad 
SALC,South Asian Languages/Civ 
SANS,Sanskrit 
SASC,South Asian Studies 
SBCR,Serbian-Croatian 
SCAN,Scandinavian 
SCTH,Social Thought 
SIGN,Signature Courses 
SLAV,General Slavic 
SOCI,Sociology 
SOMD,Social Medicine 
SOPS,Social/Organizational Psych 
SOSC,Social Sciences 
SOSL,South Slavic 
SPAN,Spanish 
SPCR,Special Courses 
SROP,Summer Research Opportunity 
SRVR,Survey Research 
SSAD,Social Service Administration 
SSPR,Field Related Internship 
STAT,Statistics 
STPR,Summer Teaching Practicum 
SUAS,Summer Arts & Sciences 
SUMR,Sumerian 
SURG,Surgery 
SWAH,Swahili 
SWED,Swedish 
SYRC,Syriac 
TADD,To Add 
TAML,Tamil 
TAPS,Theater/Performance Studies 
TBTN,Tibetan 
TELL,Non-Degree Telluride 
THEO,Theology 
TLGU,Telegu 
TRAV,The Traveling Academy 
TRNC,Transfer Credit 
TTIC,Toyota Tech Inst at Chicago 
TTIN,Toyota Tech Institute 
TURK,Turkish 
TUST,Tutorial Studies 
TWRK,Teachers' Workshop 
UGAR,Ugaritic 
UKRA,Ukranian 
UNHG,U.N. University H.G.A. 
URBS,Urban Studies 
URDU,Urdu 
UTEP,Urban Teacher Education 
UZBK,Uzbek 
VIRO,Virology 
XHOS,Xhosa 
YDDH,Yiddish 
